Nom,Adresse,Latitude,Longitude
Gouffre de Padirac France,"Le Gouffre, 46500 Padirac, France",44.8581868,1.7504297
Téléphérique du Brévent France,"74400 Chamonix, France",45.9346134,6.8458457
Téléphérique du Brévent France,"29 Rte Henriette d'Angeville, 74400 Chamonix-Mont-Blanc, France",45.923984,6.863436
Parc zoologique du bois de Boulogne (Zoo de Lille) France,"All. Arlette Gruss, 59000 Lille, France",50.6381865,3.0479093
Musée du Louvre Lens France,"99 Rue Paul Bert, 62300 Lens, France",50.4308738,2.80437
Centre aqualudique les Atlantides au Mans France,"4 Av. de Volos, 72100 Le Mans, France",47.9878574,0.2254988
Centre aqualudique les Atlantides au Mans France,"72100 Le Mans, France",47.9873876,0.2254342999999999
Parc zoologique de Thoiry France,"Rue du Pavillon de Montreuil, 78770 Thoiry, France",48.8638264,1.7962144
Parc zoologique de Thoiry France,"1 Av. des Platanes, 78940 La Queue-lez-Yvelines, France",48.8052188,1.7784346
Parc zoologique de Thoiry France,"2 Rue du Pavillon de Montreuil, 78770 Thoiry, France",48.8636397,1.7961112
Domaine de Chantilly France,"60500 Chantilly, France",49.19384669999999,2.4852034
Domaine de Chantilly France,"15 Rue du Connétable, 60500 Chantilly, France",49.1943461,2.4783924
Musée du Mucem France,"1 Esp. J4, 13002 Marseille, France",43.2966941,5.3610825
Cité du Vin France,"134 Quai de Bacalan, 33300 Bordeaux, France",44.8624022,-0.5506215
Parc zoologique de La Flèche France,"Le Tertre Rouge, 72200 La Flèche, France",47.6776384,-0.0475778
Musée de l\'Hôtel-Dieu - Hospices de Beaune France,"2 Rue de l'Hôtel Dieu, 21200 Beaune, France",47.02202339999999,4.836450699999999
Tours de Notre-Dame France,"15 Rue Georges Courteline, 37000 Tours, France",47.3938465,0.6765359999999999
Visitor Center de Colleville-sur-Mer (cimetière Américain) France,"14710 Colleville-sur-Mer, France",49.358594,-0.8526929999999999
Domaine régional de Chaumont-sur-Loire France,"478 Le Château, 41150 Chaumont-sur-Loire, France",47.4765528,1.1832622
Domaine régional de Chaumont-sur-Loire France,"Château de Chaumont-sur-Loire, 41150 Chaumont-sur-Loire, France",47.4790621,1.1819672
Palais de la Porte Dorée (6) France,"293 Av. Daumesnil, 75012 Paris, France",48.8351178,2.4092234
Palais de la Découverte France,"Av. Franklin Delano Roosevelt, 75008 Paris, France",48.8662025,2.3108215
Caverne du Pont-d\'Arc (Grotte de Chauvet 2) France,"4941 Route de Bourg St Andéol, 07150 Vallon-Pont-d'Arc, France",44.406273,4.431287
Océanopolis France,"Port de Plaisance du Moulin Blanc, 29200 Brest, France",48.3900067,-4.4359996
Citadelle de Blaye France,"La Citadelle, 33390 Blaye, France",45.1293014,-0.6661206
Cité de l\'espace France,"Av. Jean Gonord, 31500 Toulouse, France",43.5866272,1.4933567
Cité de l\'espace France,"1 Pl. du Général Catroux, 75017 Paris, France",48.8818971,2.3105441
Les Antilles à Jonzac France,"Parc du Val de Seugne, ZAC du Val de Seugne, 17500 Jonzac, France",45.4388534,-0.426615
Pont Saint Benezet d\'Avignon France,"Bd de la Ligne, 84000 Avignon, France",43.9539982,4.804738899999999
Vedettes de Bréhat France,"6 Rte de l'Embarcadère, 22620 Ploubazlanec, France",48.82162,-3.0139651
Panoramique des Dômes France,"Chemin du Couleyras, 63870 Orcines, France",45.7725865,2.9872983
Toulouse plage France,"Prairie des filtres, 31300 Toulouse, France",43.5958565,1.4368527
Conciergerie France,"2 Bd du Palais, 75001 Paris, France",48.8560114,2.3454953
Conciergerie France,"38 Rue Thiers Batiment C, 08300 Rethel, France",49.5072485,4.3673268
Conciergerie France,"38 Rue Sergent Blandan, 69001 Lyon, France",45.7687392,4.8310238
Conciergerie France,"1 Vla des Sablons, 92200 Neuilly-sur-Seine, France",48.8828019,2.2743838
Conciergerie France,"10 Pl. Vendôme, 75001 Paris, France",48.8667793,2.3298947
Conciergerie France,"48 Rue Gabriel Péri, 76600 Le Havre, France",49.4954311,0.1180262
Conciergerie France,"85 Rue Anatole France, 76600 Le Havre, France",49.4958324,0.117861
Conciergerie France,"28 Bd Anatole France, 56170 Quiberon, France",47.482031,-3.1160054
Conciergerie France,"14 Rue Marc Seguin, 75018 Paris, France",48.8922375,2.3632222
Conciergerie France,"Bd des Arceaux, 34000 Montpellier, France",43.6115307,3.8651387
Conciergerie France,"THOMAS MICHEL BLEU RIVAGE CB, 50 Av. de la Croix Saint-Martin, 03200 Vichy, France",46.116537,3.434104
Conciergerie France,"1 Rue Mornay, 75004 Paris, France",48.84944609999999,2.3654774
Parc zoologique et botanique France,"111 Av. de la 1ère Division Blindée, 68100 Mulhouse, France",47.7316328,7.347643000000001
Parc zoologique et botanique France,"Parc animalier et botanique & Parcabout de Branféré, 56190 Le Guerno, France",47.5916205,-2.402250500000001
Thermapolis France,"Avenue de l'Europe, 57360 Amnéville, France",49.24241019999999,6.1285742
Cinémathèque française France,"51 Rue de Bercy, 75012 Paris, France",48.8372222,2.3825
Seaquarium du Grau-du-Roi France,"Av. du Palais de la Mer Hall Seaquarium, 30240 Le Grau-du-Roi, France",43.5268784,4.1411752
Mémorial de la paix France,"61600 La Ferté-Macé, France",48.5871399,-0.3615531
Mémorial de la paix France,"62580 Neuville-Saint-Vaast, France",50.35465989999999,2.7485951
Mémorial de la paix France,"60200 Compiègne, France",49.42748960000001,2.9059622
Dune du Pilat France,"Dune of Pilat, France",44.5896525,-1.2133338
Parc de Champagne France,"10 Av. du Général Giraud, 51100 Reims, France",49.2406956,4.0557858
Jacobins de Toulouse France,"Pl. des Jacobins, 31000 Toulouse, France",43.60348159999999,1.4404851
Cathédrale de Rodez France,"Rue Frayssinous, 12000 Rodez, France",44.3507746,2.5741598
Aquarium de Saint-Malo France,"Rue du Général Patton, 35400 Saint-Malo, France",48.61960149999999,-1.9946489
Parc Saint-Paul France,"47 Rue de l'Avelon, 60650 Saint-Paul, France",49.421484,1.982817
Tapisserie de Bayeux France,"13B Rue de Nesmond, 14400 Bayeux, France",49.274411,-0.7005935000000001
Tapisserie de Bayeux France,"Rue aux Coqs, 14400 Bayeux, France",49.2751569,-0.6997323
Tapisserie de Bayeux France,"1939 Bd Fabian Ware, 14400 Bayeux, France",49.2743788,-0.713595
Casino de Blotzheim France,"777 All. du Casino, 68730 Blotzheim, France",47.5899009,7.494953099999999
Musée des beaux-arts France,"Esp. Marcel Duchamp, 76000 Rouen, France",49.4447915,1.0945961
Musée des beaux-arts France,"1 Rue Rameau, 21000 Dijon, France",47.3214246,5.0423975
Musée des beaux-arts France,"Av. Winston Churchill, 75008 Paris, France",48.8660479,2.3145896
Musée des beaux-arts France,"20 Cr d'Albret, 33000 Bordeaux, France",44.8373224,-0.5805285
Musée des beaux-arts France,"8 Rue Chanzy, 51100 Reims, France",49.2530189,4.030823199999999
Musée des beaux-arts France,"1 Rue Fernand Rabier, 45000 Orléans, France",47.9026624,1.9098046
Musée des beaux-arts France,"20 Pl. des Terreaux, 69001 Lyon, France",45.7671097,4.8336191
Musée des beaux-arts France,"18 Pl. François Sicard, 37000 Tours, France",47.3947521,0.6941037
Musée des beaux-arts France,"10 Rue Georges Clemenceau, 44000 Nantes, France",47.21953449999999,-1.5474903
Musée des beaux-arts France,"Pl. de la République, 59000 Lille, France",50.6304812,3.0627928
Musée des beaux-arts France,"Palais Longchamp Aile gauche, 9 Rue Edouard Stephan, 13004 Marseille, France",43.3046397,5.393872399999999
